NAME,ADDRESS_AB,longitude,latitude
Aurora Learning Calgary,#137 5305 McCall Way NE,-114.0030345,51.10133931
St. Gregory,5340 - 26 Avenue S.W.,-114.1604737,51.03113745
Vista Heights,2411 Vermillion Street N.E.,-114.0170736,51.07388724
Taradale,"170 Taravista Drive N.E,",-113.9377551,51.12125306
Braeside,1747 - 107 Avenue S.W.,-114.1016943,50.95667356
Renfrew Educational Services - Child Development Centre,2050 - 21 Street N.E.,-114.1439291,51.07476523
Bowcroft,3940 - 73 Street N.W.,-114.1927889,51.08755906
St. Augustine Elementary Junior High,7112 - 7 Street S.W.,-114.0807771,50.99111369
St. Francis High,877 Northmount Drive N.W.,-114.1024075,51.08450658
Vincent Massey,939 - 45 Street S.W.,-114.1534231,51.04403726
Senator Patrick Burns,2155 Chilcotin Road N.W.,-114.1155367,51.0882111
West View,Calgary Young Offender Centre 12626 - 85 Street N.W.,-114.2080705,51.16557939
Ecole Terre des Jeunes,3720 - 42 Street NW,-114.1499727,51.08530945
Corpus Christi,5607 Thornton Road N.W.,-114.0680318,51.10159694
Calgary German Language School Society,PO Box 84114   Market Mall RPO,-114.1927889,51.08755906
St. Patrick,6006 Rundlehorn Drive N.E.,-113.9467028,51.07198995
Horizon Heritage Arabic,"Building B4, 2452 Battleford A",-114.1398144,51.03967371
Terrace Road,2103 - 46 Street N.W.,-114.1579317,51.07450188
Rundle,4120 Rundlehorn Drive N.E.,-113.9737217,51.07118232
David Thompson,9320 Arbour Crescent S.E.,-114.0546514,50.96940359
Holy Child,31 Silverado Terrace SW,-114.0831381,50.88618302
Ascension of Our Lord,509 Harvest Hills Drive N.E.,-114.0596888,51.14695689
Catherine Nichols Gunn,6625 - 4 Street N.E.,-114.057895,51.11164372
Pineridge,1927 - 61 Street N.E.,-113.9452293,51.0703248
Panorama Hills,1057 Panorama Hills Dr N.E,-114.0859214,51.15581401
W.O. Mitchell,511 Silvergrove Drive N.W.,-114.1942875,51.11369077
St. Michael,4511 - 8 Avenue S.W.,-114.1515775,51.04478491
Our Lady of Fatima,6320 Taralea Park NE,-113.9379102,51.11632175
Robert Warren,12424 Elbow Drive S.W.,-114.084817,50.94250672
Calgary Jewish Academy,6700 Kootenay Street S.W.,-114.0926065,50.99349472
St. Elizabeth Seton,10845 Hidden Valley Drive,-114.1104364,51.15110183
Branton,2103 - 20 Street N.W.,-114.1090305,51.07124691
Divine Mercy,228 Mahogany Blvd. SE,-113.9239578,50.90155662
